Team;Country;Avg Annual Salary (USD);Popuation(millions);Season Ticket Avg Price(€);Avg Attendance;Capacity;Number of Spectators
Club León FC;Mexico;16685;126,7;130;22354;33943;89414
Club Necaxa;Mexico;16685;126,7;112;17480;23851;52441
Club Tijuana;Mexico;16685;126,7;199;24483;29333;97932
Deportivo Guadalajara;Mexico;16685;126,7;310;35214;49580;140856
Deportivo Toluca;Mexico;16685;126,7;237;24025;31000;120127
FC Juárez;Mexico;16685;126,7;126;12827;22300;51308
Mazatlán FC;Mexico;16685;126,7;184;11982;25000;47927
Puebla FC;Mexico;16685;126,7;104;11529;48000;46115
Querétaro FC;Mexico;16685;126,7;147;16264;34107;65055
Santos Laguna;Mexico;16685;126,7;202;15578;29237;46734
Tigres UANL;Mexico;16685;126,7;471;38627;41886;193133
UNAM Pumas;Mexico;16685;126,7;235;20853;62700;62559
Atlanta United FC;Usa;77463;331,9;537;50961;73019;152883
Austin FC;Usa;77463;331,9;444;20738;20738;103690
CF Montréal;Usa;77463;331,9;325;17552;20341;298376
Charlotte FC;Usa;77463;331,9;624;39785;75412;119355
Chicago Fire FC;Usa;77463;331,9;336;19520;24955;78081
Colorado Rapids;Usa;77463;331,9;336;15409;18086;261953
Columbus Crew;Usa;77463;331,9;482;20349;20011;61047
D.C. United;Usa;77463;331,9;365;18801;20000;75205
FC Cincinnati;Usa;77463;331,9;357;25327;26000;101308
FC Dallas;Usa;77463;331,9;336;19096;20500;76384
Houston Dynamo FC;Usa;77463;331,9;224;17112;22039;51337
Inter Miami CF;Usa;77463;331,9;397;21326;21550;63977
Los Angeles FC;Usa;77463;331,9;841;22195;22000;44389
Los Angeles Galaxy;Usa;77463;331,9;326;25184;27000;75552
Minnesota United FC;Usa;77463;331,9;379;19644;19600;58933
Nashville SC;Usa;77463;331,9;514;28772;30000;172630
New England Revolution;Usa;77463;331,9;443;33093;20000;132370
New York City FC;Usa;77463;331,9;520;20251;30321;303766
New York Red Bulls;Usa;77463;331,9;412;18246;25000;310190
Orlando City SC;Usa;77463;331,9;295;23030;25500;92118
Philadelphia Union;Usa;77463;331,9;389;18943;18500;56829
Portland Timbers;Usa;77463;331,9;533;20816;25218;41632
Real Salt Lake City;Usa;77463;331,9;269;19671;20213;59013
San Jose Earthquakes;Usa;77463;331,9;445;30887;18000;61774
Seattle Sounders FC;Usa;77463;331,9;447;30052;37722;60103
Sporting Kansas City;Usa;77463;331,9;505;29259;21000;146297
St. Louis City SC;Usa;77463;331,9;280;22423;22500;44846
Toronto FC;Usa;77463;331,9;425;25498;30991;76495
Vancouver Whitecaps FC;Usa;77463;331,9;374;26728;22120;133638
