Team;Country;Popuation(millions);Avg Annual Salary (USD);Season Ticket Avg Price(€);Avg Attendance;Capacity;Number of Spectators
CF Pachuca;Mexico;126,7;16685;118;12413;30000;37238
Club León FC;Mexico;126,7;16685;130;22354;33943;89414
Club Necaxa;Mexico;126,7;16685;112;17480;23851;52441
Club Tijuana;Mexico;126,7;16685;199;24483;29333;97932
Deportivo Guadalajara;Mexico;126,7;16685;310;35214;49580;140856
Deportivo Toluca;Mexico;126,7;16685;237;24025;31000;120127
FC Juárez;Mexico;126,7;16685;126;12827;22300;51308
Mazatlán FC;Mexico;126,7;16685;184;11982;25000;47927
Puebla FC;Mexico;126,7;16685;104;11529;48000;46115
Querétaro FC;Mexico;126,7;16685;147;16264;34107;65055
Santos Laguna;Mexico;126,7;16685;202;15578;29237;46734
Tigres UANL;Mexico;126,7;16685;471;38627;41886;193133
UNAM Pumas;Mexico;126,7;16685;235;20853;62700;62559
Atlanta United FC;Usa;331,9;77463;575;50961;73019;152883
Austin FC;Usa;331,9;77463;475;20738;20738;103690
Charlotte FC;Usa;331,9;77463;668;39785;75412;119355
Chicago Fire FC;Usa;331,9;77463;360;19520;24955;78081
CF Montréal;Usa;331,9;77463;348;17552;20341;298376
Colorado Rapids;Usa;331,9;77463;360;15409;18086;261953
Columbus Crew;Usa;331,9;77463;516;20349;20011;61047
D.C. United;Usa;331,9;77463;391;18801;20000;75205
FC Cincinnati;Usa;331,9;77463;382;25327;26000;101308
FC Dallas;Usa;331,9;77463;360;19096;20500;76384
Houston Dynamo FC;Usa;331,9;77463;240;17112;22039;51337
Inter Miami CF;Usa;331,9;77463;425;21326;21550;63977
Los Angeles FC;Usa;331,9;77463;900;22195;22000;44389
Los Angeles Galaxy;Usa;331,9;77463;349;25184;27000;75552
Minnesota United FC;Usa;331,9;77463;405;19644;19600;58933
Nashville SC;Usa;331,9;77463;550;28772;30000;172630
New England Revolution;Usa;331,9;77463;474;33093;20000;132370
New York City FC;Usa;331,9;77463;556;20251;30321;303766
New York Red Bulls;Usa;331,9;77463;441;18246;25000;310190
Orlando City SC;Usa;331,9;77463;316;23030;25500;92118
Philadelphia Union;Usa;331,9;77463;417;18943;18500;56829
Portland Timbers;Usa;331,9;77463;570;20816;25218;41632
Real Salt Lake City;Usa;331,9;77463;288;19671;20213;59013
San Jose Earthquakes;Usa;331,9;77463;476;30887;18000;61774
Seattle Sounders FC;Usa;331,9;77463;478;30052;37722;60103
Sporting Kansas City;Usa;331,9;77463;540;29259;21000;146297
St. Louis City SC;Usa;331,9;77463;300;22423;22500;44846
Toronto FC;Usa;331,9;77463;455;25498;30991;76495
Vancouver Whitecaps FC;Usa;331,9;77463;400;26728;22120;133638
